# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.0,0.0,Infinity,0.0,0.0,0.0
 0.06942008931138054,0.012047872000000126,0.17355022327845135,2.5,0.0,0.0,Infinity,0.0,0.0,0.0
 0.09836864541102533,0.024190976000000086,0.41947183680601463,8.495125376238741,0.0,0.0,Infinity,0.0,0.0,0.0
 0.12071212697985209,0.03642854399999984,0.5477019309771937,5.739038196718789,0.0,0.0,Infinity,0.0,0.0,0.0
 0.13965644704058602,0.048759808000000016,0.6509214350510948,5.44857264567891,0.0,0.0,Infinity,0.0,0.0,0.0
 0.15644040398822795,0.061183999999999905,0.7402421275720346,5.32178989731554,0.0,0.0,Infinity,0.0,0.0,0.0
 0.17169781827384986,0.07370035199999991,0.8203455556551944,5.250131285918263,0.0,0.0,Infinity,0.0,0.0,0.0
 0.18580430134956513,0.086308096,0.8937552990585367,5.203972032527322,0.0,0.0,Infinity,0.0,0.0,0.0
 0.1990039838797203,0.0990064639999999,0.9620207130732134,5.17174665820347,0.0,0.0,Infinity,0.0,0.0,0.0
 0.211466014290713,0.11179468800000003,1.026174995426082,5.147979922780351,0.0,0.0,Infinity,0.0,0.0,0.0
 0.22331323292630928,0.12467200000000012,1.086948118042556,5.1297375768751685,0.0,0.0,Infinity,0.0,0.0,0.0
 0.23463813159842556,0.13763763200000012,1.1448784113118358,5.115303451845753,0.0,0.0,Infinity,0.0,0.0,0.0
 0.24551237524817382,0.15069081600000023,1.2003762671164986,5.103606061461351,0.0,0.0,Infinity,0.0,0.0,0.0
 0.25599279989874735,0.16383078400000017,1.253762937867301,5.093941565419382,0.0,0.0,Infinity,0.0,0.0,0.0
 0.2661253599339982,0.17705676800000014,1.30529539958186,5.085828412097147,0.0,0.0,Infinity,0.0,0.0,0.0
 0.2759478211546525,0.1903680000000001,1.3551829527216281,5.078925945247478,0.0,0.0,Infinity,0.0,0.0,0.0
 0.285491654519007,0.20376371199999999,1.403598689184147,5.072986358222474,0.0,0.0,Infinity,0.0,0.0,0.0
 0.2947834025178488,0.217243136,1.4506876425921365,5.067825065193223,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3038456871505669,0.23080550400000033,1.4965727241710398,5.063301743275817,0.0,0.0,Infinity,0.0,0.0,0.0
 0.312697968013865,0.24445004800000025,1.5413591379110834,5.059307813620082,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3213571222176352,0.2581760000000002,1.5851377255787513,5.055757945574741,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3298378947301236,0.2719825920000001,1.6279875423693912,5.052584151684435,0.0,0.0,Infinity,0.0,0.0,0.0
 0.33815325283072484,0.2858690560000001,1.6699778689021196,5.0497315960081455,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3463146684736299,0.29983462400000027,1.7111698032608822,5.047155562352934,0.0,0.0,Infinity,0.0,0.0,0.0
 0.35433234568692734,0.31387852800000027,1.751617535401397,5.044819224379801,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3622154055254969,0.3280000000000003,1.7913693780310624,5.042691980488463,0.0,0.0,Infinity,0.0,0.0,0.0
 0.369972037862323,0.3421982720000003,1.8304686084695516,5.040748193369697,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3776096269959231,0.35647257600000026,1.868954162145612,5.038966223876955,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3851348563815019,0.37082214400000013,1.9068612084435685,5.037327682077138,0.0,0.0,Infinity,0.0,0.0,0.0
 0.392553796568063,0.3852462080000003,1.9442216323739083,5.035816840526049,0.0,0.0,Infinity,0.0,0.0,0.0
 0.399871979513444,0.3997440000000003,1.9810644402037725,5.034420170257992,0.0,0.0,Infinity,0.0,0.0,0.0
 0.40709446176532565,0.41431475200000034,2.0174161031969216,5.033125970462365,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4142258784769491,0.42895769600000033,2.053300850605686,5.031924070609456,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4212704898280916,0.4436720640000005,2.088740920762602,5.030805588894312,0.0,0.0,Infinity,0.0,0.0,0.0
 0.428232221113732,0.4584570880000005,2.123756777354563,5.029762735052193,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4351146975223891,0.4733120000000004,2.1583672965903102,5.028788648256345,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4419212744369751,0.48823603200000054,2.192589929898403,5.027877263056612,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4486550639411085,0.5032284160000002,2.226440845945205,5.027023197862581,0.0,0.0,Infinity,0.0,0.0,0.0
 0.45531895809421363,0.5182883840000005,2.259935055088306,5.026221661623124,0.0,0.0,Infinity,0.0,0.0,0.0
 0.461915649442623,0.5334151680000003,2.2930865188420997,5.025468375413309,0.0,0.0,Infinity,0.0,0.0,0.0
 0.468447649156232,0.5486080000000004,2.32590824649713,5.02475950613534,0.0,0.0,Infinity,0.0,0.0,0.0
 0.47491730311707975,0.5638661120000004,2.3584123806832755,5.0240916102855095,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4813268062346001,0.5791887360000005,2.3906102733791967,5.02346158595482,0.0,0.0,Infinity,0.0,0.0,0.0
 0.48767821521983146,0.5945751040000005,2.4225125536360803,5.022866631807929,0.0,0.0,Infinity,0.0,0.0,0.0
