# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.0,0.0,Infinity,0.0,0.0,0.0
 0.15446961297324563,0.01193043066605215,0.07723480648662283,0.5000000000000001,0.0,0.0,Infinity,0.0,0.0,0.0
 0.21781793400748872,0.02372232618764536,0.18614377349036718,1.7192084214019394,0.0,0.0,Infinity,0.0,0.0,0.0
 0.2659947061500862,0.03537659184993536,0.24190632007878754,1.157457092047801,0.0,0.0,Infinity,0.0,0.0,0.0
 0.30624869938687876,0.046894132938077426,0.2861217027684825,1.098409850411601,0.0,0.0,Infinity,0.0,0.0,0.0
 0.34139670395956195,0.05827585473722641,0.3238227016732206,1.0726355411379196,0.0,0.0,Infinity,0.0,0.0,0.0
 0.37288781833827245,0.06952266253253825,0.3571422611489171,1.058062254482241,0.0,0.0,Infinity,0.0,0.0,0.0
 0.40158551171367723,0.08063546160916801,0.387236665025975,1.048669782737665,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4280541023101435,0.09161515725227143,0.4148198070119107,1.0421084524847433,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4526867675269586,0.10246265474700333,0.4403704349185507,1.0372660725806617,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4757706577302133,0.1131788593785199,0.4642287126285856,1.0335466639271649,0.0,0.0,Infinity,0.0,0.0,0.0
 0.49752321841694086,0.12376467643197553,0.4866469380735772,1.03060167342368,0.0,0.0,Infinity,0.0,0.0,0.0
 0.5181139086967771,0.13422101119252616,0.50781856355686,1.028213488501424,0.0,0.0,Infinity,0.0,0.0,0.0
 0.5376779127792531,0.1445487689453271,0.5278959107380143,1.0262391633386623,0.0,0.0,Infinity,0.0,0.0,0.0
 0.5563251836390899,0.1547488549755336,0.5470015482091731,1.024580895229515,0.0,0.0,Infinity,0.0,0.0,0.0
 0.5741466268616426,0.16482217456830117,0.5652359052503649,1.0231694938217195,0.0,0.0,Infinity,0.0,0.0,0.0
 0.591218458793,0.17476963300878512,0.582682542827322,1.0219546236810906,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6076053580773312,0.18459213558214094,0.5994119084351646,1.0208987873525757,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6233627957674787,0.1942905875735237,0.6154840769224059,1.0199734755918257,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6385387917238686,0.2038658942680891,0.6309507937456755,1.0191566252201876,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6531752612446252,0.21331896095099223,0.6458570264842449,1.0184308939686746,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6673090631894468,0.2226506929073886,0.6602421622170354,1.0177824614318234,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6809728268035864,0.2318619954224337,0.6741409449965186,1.0172001779290465,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6941956118865669,0.24095377378128258,0.6875842193450795,1.016674948900462,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7070034416735055,0.249926933269091,0.7005995267800335,1.0161992821162336,0.0,0.0,Infinity,0.0,0.0,0.0
 0.719419737248032,0.25878237917101377,0.7132115894607703,1.015766949573271,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7314656748914562,0.26752101677220685,0.7254427060697469,1.0153727315410317,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7431604824771368,0.27614375135782554,0.7373130786842986,1.0150122203879632,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7545216871807258,0.28465148821302466,0.7488410848289344,1.0146816684848718,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7655653239573488,0.2930451326229604,0.7600435055690403,1.0143778690565965,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7763061121397762,0.30132558987278757,0.7709357180485615,1.0140980619412592,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7867576059342055,0.3094937652476615,0.7815318590369887,1.0138398583822503,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7969323233910615,0.31755056403273785,0.7918449646626331,1.0136011805119136,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8068418575076178,0.32549689151317174,0.8018870904493429,1.0133802122878734,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8164969724060447,0.3333336529741189,0.8116694149568344,1.0131753594237782,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8259076869732281,0.3410617537007341,0.821202329689634,1.012985216451286,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8350833479098636,0.34868209897817337,0.8304955174415476,1.0128085394708577,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8440326937880922,0.35619559409159196,0.8395580208489811,1.0126442234711495,0.0,0.0,Infinity,0.0,0.0,0.0
 0.852763911438734,0.3636031443261447,0.8483983026134126,1.0124912833643234,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8612846857653831,0.3709056549669876,0.8570242986020569,1.012348838023562,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8696022439015154,0.3781040312992756,0.8654434648334525,1.012216096791903,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8777233944793358,0.3851991786081641,0.8736628191904252,1.0120923480252388,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8856545626583863,0.392192002178809,0.8816889785688643,1.01197694932753,0.0,0.0,Infinity,0.0,0.0,0.0
