# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.0,-35.79,Infinity,0.0,0.0,0.0
 0.153989506135968,0.011856383999999665,0.076994753067984,0.5,0.0,-35.46571265735932,Infinity,0.0,0.0,0.0
 0.21645818071858408,0.023427071999999605,0.1852238434272761,1.7325338032609763,0.0,-35.14142531471864,Infinity,0.0,0.0,0.0
 0.2634933319839403,0.034714367999999496,0.23997575635126223,1.1640637151371016,0.0,-34.81713797207796,Infinity,0.0,0.0,0.0
 0.30239238085639625,0.0457205759999999,0.28294285642016825,1.1045797086141775,0.0,-34.49285062943728,Infinity,0.0,0.0,0.0
 0.33599999999999886,0.05644799999999961,0.3191961904281973,1.078723662426711,0.0,-34.1685632867966,Infinity,0.0,0.0,0.0
 0.36578393622465183,0.06689894400000007,0.3508919681123253,1.064190355668723,0.0,-33.84427594415592,Infinity,0.0,0.0,0.0
 0.39262122204486116,0.07707571200000007,0.3792025791347563,1.054898442863853,0.0,-33.51998860151524,Infinity,0.0,0.0,0.0
 0.4170865809397356,0.0869806079999993,0.40485390149229816,1.0484752121464231,0.0,-33.19570125887456,Infinity,0.0,0.0,0.0
 0.4395814736769492,0.09661593599999918,0.42833402730834236,1.0437980785389875,0.0,-32.87141391623387,Infinity,0.0,0.0,0.0
 0.46039982623801984,0.10598399999999941,0.44999064995748456,1.0402659185260945,0.0,-32.54712657359319,Infinity,0.0,0.0,0.0
 0.47976474234774624,0.11508710399999966,0.4700822842928837,1.037527569009592,0.0,-32.22283923095251,Infinity,0.0,0.0,0.0
 0.4978504835791575,0.1239275520000005,0.4888076129634525,1.0353641817039108,0.0,-31.89855188831183,Infinity,0.0,0.0,0.0
 0.5147963636235202,0.1325076479999998,0.5063234236013379,1.033632398673344,0.0,-31.57426454567115,Infinity,0.0,0.0,0.0
 0.5307159240120854,0.14082969600000084,0.5227561438178041,1.0322345476492936,0.0,-31.24997720303047,Infinity,0.0,0.0,0.0
 0.545703216043299,0.1488959999999997,0.5382095700276904,1.0311019614285226,0.0,-30.925689860389788,Infinity,0.0,0.0,0.0
 0.5598372334884498,0.1567088640000005,0.5527702247658728,1.0301851398363646,0.0,-30.601402517749108,Infinity,0.0,0.0,0.0
 0.5731851219283353,0.16427059200000027,0.5665111777083949,1.029447691626049,0.0,-30.277115175108424,Infinity,0.0,0.0,0.0
 0.58580455443774,0.17158348799999956,0.5794948381830378,1.028862467861904,0.0,-29.952827832467744,Infinity,0.0,0.0,0.0
 0.5977455244499936,0.17864985599999894,0.5917750394438656,1.0284090193867035,0.0,-29.628540489827063,Infinity,0.0,0.0,0.0
 0.6090517219415782,0.18547200000000075,0.6033986231957885,1.0280718836350267,0.0,-29.304253147186383,Infinity,0.0,0.0,0.0
 0.6197616057808037,0.19205222400000022,0.6144066638611921,1.0278394080322373,0.0,-28.9799658045457,Infinity,0.0,0.0,0.0
 0.6299092506067833,0.19839283199999969,0.6248354281937959,1.0277029312165646,0.0,-28.65567846190502,Infinity,0.0,0.0,0.0
 0.6395250237480934,0.20449612799999972,0.6347171371774353,1.0276562101061615,0.0,-28.33139111926434,Infinity,0.0,0.0,0.0
 0.6486361322035644,0.210364416,0.6440805779758327,1.0276950213203653,0.0,-28.00710377662366,Infinity,0.0,0.0,0.0
 0.6572670690061996,0.2160000000000002,0.6529516006048801,1.0278168907851248,0.0,-27.68281643398298,Infinity,0.0,0.0,0.0
 0.6654399807646065,0.22140518399999998,0.6613535248854017,1.0280209219044891,0.0,-27.358529091342298,Infinity,0.0,0.0,0.0
 0.673174972796819,0.22658227199999903,0.6693074767807105,1.0283077037680735,0.0,-27.034241748701618,Infinity,0.0,0.0,0.0
 0.6804903643696943,0.2315335679999997,0.6768326685832565,1.0286792890825807,0.0,-26.709954406060934,Infinity,0.0,0.0,0.0
 0.6874029036889499,0.23626137599999986,0.6839466340293252,1.0291392377692645,0.0,-26.385667063420254,Infinity,0.0,0.0,0.0
 0.6939279501504462,0.2407680000000001,0.6906654269197005,1.0296927278636567,0.0,-26.061379720779573,Infinity,0.0,0.0,0.0
 0.7000796297565014,0.24505574400000008,0.6970037899534732,1.0303467409996112,0.0,-25.73709237813889,Infinity,0.0,0.0,0.0
 0.7058709683787828,0.24912691200000037,0.7029752990676452,1.0311103362523788,0.0,-25.41280503549821,Infinity,0.0,0.0,0.0
 0.7113140066103011,0.25298380799999975,0.7085924874945367,1.0319950343844417,0.0,-25.08851769285753,Infinity,0.0,0.0,0.0
 0.7164198992211197,0.2566287359999997,0.7138669529157119,1.03301534583774,0.0,-24.76423035021685,Infinity,0.0,0.0,0.0
 0.7211990016632023,0.26006399999999985,0.7188094504421603,1.0341894919278192,0.0,-24.43994300757617,Infinity,0.0,0.0,0.0
 0.7256609456213003,0.2632919039999999,0.7234299736422447,1.0355403930384555,0.0,-24.11565566493549,Infinity,0.0,0.0,0.0
 0.7298147052505856,0.26631475199999954,0.7277378254359438,1.0370970345340813,0.0,-23.791368322294808,Infinity,0.0,0.0,0.0
 0.7336686554569443,0.2691348480000002,0.731741680353766,1.0388963799314654,0.0,-23.467080979654128,Infinity,0.0,0.0,0.0
 0.7372306233465886,0.2717544959999998,0.7354496394017587,1.0409860961332031,0.0,-23.142793637013444,Infinity,0.0,0.0,0.0
